number,person,word,label
701, 0.3529, go, 1
702, 0.3333, vega, 1
703, 0.2, Yea, 1
704, 0.0, fomr, 1
705, 0.4706, riverside, 1
706, 0.375, k, 1
707, 0.0, Wat, 1
708, 0.0, wanan, 1
709, 0.2222, do, 1
710, 0.1739, get, 1
711, 0.375, beer, 1
712, 0.0, Kewl, 1
713, 0.625, mike, 1
714, 0.1739, get, 1
715, 0.375, ta, 1
716, 0.3333, id, 1
717, 0.0, lurve, 1
718, 0.0, Coolio, 1
719, 0.0, wat, 1
720, 1.0, name, 1
721, 0.0, Jessie, 1
722, 0.0, nict, 1
723, 0.2222, meet, 1
724, 0.0, ncie, 1
725, 0.0, lol, 1
726, 0.0, Lol, 1
727, 1.0, flirt, 1
728, 0.375, be, 1
729, 0.5882, mack, 1
730, 1.0, wit, 1
731, 0.0, girlz, 1
732, 0.8333, net, 1
733, 0.0, Lol, 1
734, 0.0, Lol, 1
735, 0.0, ty, 1
736, 0.0, b/f, 1
737, 0.0, fdork, 1
738, 0.7692, school, 1
739, 0.0, Haha, 1
740, 0.0, g/f, 1
741, 1.0, have, 1
742, 0.0, 1/to, 1
743, 0.0, lol, 1
744, 0.25, Thought, 1
745, 1.0, date, 1
746, 1.0, midget, 1
747, 0.0, Haha, 1
748, 0.0, Nuh, 1
749, 0.8421, mom, 1
750, 0.2353, wont, 1
751, 0.3333, let, 1
752, 0.1739, get, 1
753, 0.0, Haha, 1
754, 0.3333, let, 1
755, 0.7143, check, 1
756, 0.4, c, 1
757, 0.0, wat, 1
758, 0.2857, time, 1
759, 0.2353, leave, 1
760, 0.3333, let, 1
761, 0.2222, know, 1
762, 0.4, couple, 1
763, 0.2667, hr, 1
764, 0.6667, call, 1
765, 0.2222, meet, 1
766, 0.375, K, 1
767, 0.0, wat, 1
768, 0.3333, digit, 1
769, 0.0, Kewl, 1
770, 0.0, Dave, 1
771, 0.25, rite, 1
772, 0.4, want, 1
773, 0.375, be, 1
774, 0.2, kill, 1
775, 1.0, boy, 1
776, 0.0, shoiw, 1
777, 0.375, be, 1
778, 0.7692, home, 1
779, 0.0, dont, 1
780, 1.0, have, 1
781, 0.4615, ne, 1
782, 1.0, have, 1
783, 0.0, hosue, 1
784, 0.375, be, 1
785, 0.0, sleve, 1
786, 0.0, Haha, 1
787, 0.0, coudl, 1
788, 0.2222, do, 1
789, 0.4, want, 1
790, 0.0, Cept, 1
791, 0.3333, start, 1
792, 0.625, fire, 1
793, 0.7692, house, 1
794, 0.0, lol, 1
795, 0.0, kewl, 1
796, 1.0, wit, 1
797, 0.375, be, 1
798, 0.0, dont, 1
799, 0.1739, get, 1
800, 0.25, trouble, 1
801, 0.3333, Pizza, 1
802, 0.625, movie, 1
803, 0.0, Wat, 1
804, 0.6667, wan, 1
805, 0.0, bring, 1
806, 0.3333, Pizza, 1
807, 0.1739, get, 1
808, 0.2222, porn, 1
809, 0.0, lol, 1
810, 0.2353, try, 1
811, 0.0, seduce, 1
812, 0.0, lol, 1
813, 0.0, Haha, 1
814, 0.0, Haha, 1
815, 1.0, guy, 1
816, 0.375, be, 1
817, 0.375, be, 1
818, 0.0, Haha, 1
819, 1.0, hope, 1
820, 0.3333, let, 1
821, 1.0, hope, 1
822, 0.2353, leave, 1
823, 0.0, nah, 1
824, 0.2222, do, 1
825, 0.4211, see, 1
826, 0.7692, Lem, 1
827, 0.1739, get, 1
828, 0.7143, bit, 1
829, 0.4, c, 1
830, 0.0, wat, 1
831, 0.25, find, 1
832, 0.0, aint, 1
833, 0.6667, call, 1
834, 0.2353, bye, 1
835, 0.25, news, 1
836, 0.0, rnt, 1
837, 0.0, til, 1
838, 0.25, tomorrow, 1
839, 0.0, Sowry, 1
840, 0.2, noon, 1
841, 0.0, Mebbe, 1
842, 1.0, tom, 1
843, 0.0, Kewl, 1
844, 0.0, nothin, 1
845, 0.0, Wat, 1
846, 0.0, doin, 1
847, 0.0, lol, 1
848, 0.0, Wat, 1
849, 0.0, wearin, 1
850, 0.2222, know, 1
851, 0.6667, shorts, 1
852, 0.3158, t, 1
853, 0.0, Alwayz, 1
854, 0.0, lol, 1
855, 0.2222, do, 1
856, 0.2222, know, 1
857, 0.0, peakin, 1
858, 0.0, lol, 1
859, 0.0, Haha, 1
860, 0.9333, b, 1
861, 0.0, Haha, 1
862, 0.375, y, 1
863, 0.2222, say, 1
864, 0.25, guess, 1
865, 0.2, yea, 1
866, 0.2667, month, 1
867, 0.0, Nah, 1
868, 0.0, itz, 1
869, 0.0, kewl, 1
870, 0.1739, get, 1
871, 0.2667, chill, 1
872, 0.0, myslf, 1
873, 0.0, Haha, 1
874, 0.0, kewl, 1
875, 0.0, Watever, 1
876, 0.4, want, 1
877, 0.1739, get, 1
878, 1.0, killer, 1
879, 0.0, entertinment, 1
880, 0.7692, centre, 1
881, 0.0, haah, 1
882, 0.0, nothin, 1
883, 0.0, Wat, 1
884, 0.4, want, 1
885, 0.2222, do, 1
886, 0.5714, stuff, 1
887, 0.0, dotn, 1
888, 0.0, mcuh, 1
889, 0.0, Lol, 1
890, 0.0, Haha, 1
891, 0.375, y, 1
892, 0.0, woudl, 1
893, 0.2222, do, 1
894, 0.0, hella, 1
895, 0.375, be, 1
